method,budget,frame,psnr,rays,ms,steps
PT,1.0,8,25.1832,65775,31.338,4575593
PT,1.0,9,25.6612,65989,31.284,4573792
PT,1.0,10,25.8730,66010,31.711,4617919
PT,1.0,11,26.1149,66094,31.514,4586361
PT,1.0,12,26.2854,65280,31.166,4534653
PT,1.0,13,26.4750,65722,31.299,4560433
PT,1.0,14,26.6701,66277,31.900,4614697
PT,1.0,15,26.7893,65925,31.855,4589036
PT,1.0,16,26.8068,66130,31.896,4596277
PT,1.0,17,26.7570,65588,31.434,4547231
PT,1.0,18,26.9178,65469,31.550,4556850
PT,1.0,19,26.8647,65782,31.388,4575078
PT,1.0,20,26.8025,65878,31.418,4574815
PT,1.0,21,26.5917,65672,31.452,4550727
PT,1.0,22,26.4202,65943,31.575,4578850
PT,1.0,23,26.2506,65876,31.130,4556762
PT,1.0,24,26.3661,66335,31.947,4597453
PT,1.0,25,26.6201,66395,32.105,4601335
PT,1.0,26,26.7420,66336,34.038,4647224
PT,1.0,27,26.7211,66152,31.672,4601534
PT,1.0,28,26.7995,65816,32.084,4566302
PT,1.0,29,26.8539,66051,31.822,4600850
PT,1.0,30,27.0332,65819,31.430,4575491
PT,1.0,31,26.8390,66203,31.213,4605251
PT,1.0,32,26.9551,65260,31.151,4539296
PT,1.0,33,27.1225,65825,31.982,4572807
PT,1.0,34,27.1101,66492,31.656,4626139
PT,1.0,35,27.0708,65760,31.531,4550508
PT,1.0,36,25.1453,65671,32.411,4568181
PT,1.0,37,25.1729,65491,31.233,4550390
PT,1.0,38,25.2183,65890,31.537,4568343
PT,1.0,39,25.3431,66228,32.394,4605717
PT,1.0,40,25.4966,65946,32.802,4588702
PT,1.0,41,25.4276,65022,31.659,4503217
PT,1.0,42,24.9687,66094,32.064,4598477
PT,1.0,43,25.2339,65636,32.349,4549446
PT,1.0,44,25.3028,65695,33.886,4573426
PT,1.0,45,25.4700,65073,32.218,4508615
PT,1.0,46,25.6091,65409,31.589,4530503
PT,1.0,47,25.7777,65795,32.430,4562780
PT,1.0,48,25.6989,66027,32.860,4596381
PT,1.0,49,25.8443,65408,31.883,4542146
PT,1.0,50,25.9995,65871,32.105,4582238
PT,1.0,51,26.2110,65770,32.430,4572548
PT,1.0,52,26.2895,65946,32.429,4588217
PT,1.0,53,26.4515,65256,31.489,4535049
PT,1.0,54,26.4792,66272,32.216,4589068
PT,1.0,55,26.6860,65974,31.817,4576062
PT,1.0,56,26.8915,66592,31.891,4639737
PT,1.0,57,26.6671,65465,32.840,4549999
PT,1.0,58,26.5992,66046,31.355,4585488
PT,1.0,59,26.7241,65677,31.211,4584135
PT,1.0,60,26.9339,66567,31.460,4647485
PT,1.0,61,26.6840,66350,31.446,4605730
PT,1.0,62,26.6820,66194,31.939,4612803
PT,1.0,63,26.9265,65315,32.696,4535541
PT,1.0,64,26.8376,65913,31.960,4569563
PT,1.0,65,26.7901,65909,32.278,4577900
PT,1.0,66,26.8540,65891,31.662,4560760
PT,1.0,67,26.9967,65515,32.156,4547574
PT,1.0,68,27.0743,65947,32.841,4552119
PT,1.0,69,27.1081,65712,32.597,4565450
PT,1.0,70,27.0476,64956,31.335,4502202
PT,1.0,71,27.1011,65223,32.173,4546059
PT,1.0,72,26.9885,65739,31.561,4557990
PT,1.0,73,26.4689,65632,32.756,4548109
PT,1.0,74,26.5846,66049,31.833,4580659
PT,1.0,75,22.5016,66113,33.633,4635472
PT,1.0,76,23.3923,65647,33.152,4589511
PT,1.0,77,24.2857,65999,31.998,4633190
PT,1.0,78,24.8812,65638,32.467,4585666
PT,1.0,79,25.4072,65880,32.409,4632244
PT,1.0,80,25.6099,66006,31.520,4641815
PT,1.0,81,26.0118,65375,33.323,4589626
PT,1.0,82,26.2088,65647,32.243,4608315
PT,1.0,83,26.5169,65690,31.101,4607455
PT,1.0,84,26.7715,65623,30.962,4599055
